forecast_date,t_2m,absolute_humidity_2m,wind_speed_10m,msl_pressure,city
2023-12-21 00:00:00,5.4,6.5,2.2,1012,rome
2023-12-21 01:00:00,6.3,6.8,2.4,1012,rome
2023-12-21 02:00:00,5.6,6.5,2.2,1012,rome
2023-12-21 03:00:00,4.8,6.3,2.4,1012,rome
2023-12-21 04:00:00,4.9,6.2,2.2,1012,rome
2023-12-21 05:00:00,4.3,6.0,2.2,1012,rome
2023-12-21 06:00:00,4.2,5.9,2.4,1012,rome
2023-12-21 07:00:00,4.5,6.0,2.4,1013,rome
2023-12-21 08:00:00,6.1,6.2,2.3,1014,rome
2023-12-21 09:00:00,8.3,6.7,1.9,1014,rome
2023-12-21 10:00:00,10.0,7.0,1.9,1014,rome
2023-12-21 11:00:00,11.4,7.1,1.4,1013,rome
2023-12-21 12:00:00,12.4,7.2,0.9,1012,rome
2023-12-21 13:00:00,12.9,7.3,0.0,1012,rome
2023-12-21 14:00:00,12.9,7.5,0.7,1012,rome
2023-12-21 15:00:00,11.6,8.1,1.1,1011,rome
2023-12-21 16:00:00,9.4,7.4,1.6,1011,rome
2023-12-21 17:00:00,8.0,7.5,1.7,1010,rome
2023-12-21 18:00:00,7.3,7.4,2.3,1010,rome
2023-12-21 19:00:00,8.1,8.0,2.0,1010,rome
2023-12-21 20:00:00,8.8,8.3,2.2,1010,rome
2023-12-21 21:00:00,9.0,8.2,1.4,1010,rome
2023-12-21 22:00:00,9.0,8.1,1.8,1008,rome
2023-12-21 23:00:00,9.6,8.3,2.6,1008,rome
2023-12-22 00:00:00,9.4,8.3,3.8,1007,rome
2023-12-22 01:00:00,9.4,8.2,3.8,1006,rome
2023-12-22 02:00:00,9.7,8.1,2.8,1006,rome
2023-12-22 03:00:00,8.6,7.8,2.0,1005,rome
2023-12-22 04:00:00,7.6,7.5,2.4,1005,rome
2023-12-22 05:00:00,6.2,7.0,2.6,1006,rome
2023-12-22 06:00:00,5.6,6.8,2.3,1006,rome
2023-12-22 07:00:00,5.5,6.8,2.2,1007,rome
2023-12-22 08:00:00,7.7,7.4,2.4,1008,rome
2023-12-22 09:00:00,9.3,8.0,2.0,1008,rome
2023-12-22 10:00:00,11.4,8.7,1.6,1009,rome
2023-12-22 11:00:00,13.3,9.1,1.1,1008,rome
2023-12-22 12:00:00,14.7,9.3,2.2,1008,rome
2023-12-22 13:00:00,15.0,9.2,2.9,1008,rome
2023-12-22 14:00:00,14.6,9.2,1.8,1008,rome
2023-12-22 15:00:00,13.2,9.5,1.7,1008,rome
2023-12-22 16:00:00,11.1,9.1,2.5,1009,rome
2023-12-22 17:00:00,10.1,8.8,1.3,1008,rome
2023-12-22 18:00:00,8.5,8.3,0.4,1009,rome
2023-12-22 19:00:00,9.0,8.4,1.8,1009,rome
2023-12-22 20:00:00,7.8,7.9,1.2,1010,rome
2023-12-22 21:00:00,7.0,7.6,0.9,1010,rome
2023-12-22 22:00:00,7.2,7.6,1.3,1011,rome
2023-12-22 23:00:00,7.3,7.5,1.4,1011,rome
2023-12-23 00:00:00,6.2,7.1,2.7,1011,rome
2023-12-23 01:00:00,5.6,6.8,2.6,1011,rome
2023-12-23 02:00:00,5.0,6.6,2.5,1011,rome
2023-12-23 03:00:00,4.5,6.4,2.3,1011,rome
2023-12-23 04:00:00,4.2,6.2,2.2,1012,rome
2023-12-23 05:00:00,3.8,6.0,2.1,1012,rome
2023-12-23 06:00:00,3.6,5.9,2.0,1013,rome
2023-12-23 07:00:00,5.6,6.4,2.1,1013,rome
2023-12-23 08:00:00,7.5,6.9,2.2,1014,rome
2023-12-23 09:00:00,9.3,7.4,2.3,1014,rome
2023-12-23 10:00:00,11.4,8.1,2.6,1014,rome
2023-12-23 11:00:00,13.5,8.9,2.8,1013,rome
2023-12-23 12:00:00,15.6,9.8,3.1,1013,rome
2023-12-23 13:00:00,15.1,9.7,3.3,1013,rome
2023-12-23 14:00:00,14.6,9.6,3.6,1013,rome
2023-12-23 15:00:00,14.1,9.5,3.9,1013,rome
2023-12-23 16:00:00,13.0,9.3,3.6,1013,rome
2023-12-23 17:00:00,11.9,9.2,3.3,1014,rome
2023-12-23 18:00:00,11.0,9.0,3.0,1014,rome
2023-12-23 19:00:00,10.9,9.0,3.0,1014,rome
2023-12-23 20:00:00,10.8,9.0,2.9,1015,rome
2023-12-23 21:00:00,10.7,8.9,2.9,1015,rome
2023-12-23 22:00:00,10.4,8.8,2.9,1015,rome
2023-12-23 23:00:00,10.1,8.7,2.8,1015,rome
2023-12-24 00:00:00,9.8,8.5,2.8,1016,rome
2023-12-24 01:00:00,9.7,8.5,2.7,1016,rome
2023-12-24 02:00:00,9.7,8.5,2.6,1016,rome
2023-12-24 03:00:00,9.6,8.5,2.5,1016,rome
2023-12-24 04:00:00,9.7,8.6,2.5,1016,rome
2023-12-24 05:00:00,9.9,8.6,2.6,1016,rome
2023-12-24 06:00:00,10.1,8.7,2.7,1016,rome
2023-12-24 07:00:00,11.4,9.1,2.8,1017,rome
2023-12-24 08:00:00,12.6,9.5,2.9,1018,rome
2023-12-24 09:00:00,13.8,9.9,3.1,1018,rome
2023-12-24 10:00:00,14.1,9.7,3.5,1018,rome
2023-12-24 11:00:00,14.5,9.5,3.9,1018,rome
2023-12-24 12:00:00,14.8,9.3,4.4,1018,rome
2023-12-24 13:00:00,14.5,9.3,4.1,1018,rome
2023-12-24 14:00:00,14.2,9.3,3.8,1018,rome
2023-12-24 15:00:00,13.8,9.3,3.5,1018,rome
2023-12-24 16:00:00,13.5,9.3,3.3,1018,rome
2023-12-24 17:00:00,13.1,9.3,3.2,1018,rome
2023-12-24 18:00:00,12.8,9.3,3.0,1018,rome
2023-12-24 19:00:00,12.9,9.2,3.1,1019,rome
2023-12-24 20:00:00,13.0,9.2,3.2,1019,rome
2023-12-24 21:00:00,13.1,9.2,3.3,1019,rome
2023-12-24 22:00:00,12.8,9.3,3.1,1019,rome
2023-12-24 23:00:00,12.5,9.4,2.8,1019,rome
2023-12-25 00:00:00,12.2,9.5,2.6,1019,rome
2023-12-25 01:00:00,11.6,9.3,2.4,1019,rome
2023-12-25 02:00:00,11.1,9.3,2.3,1019,rome
2023-12-25 03:00:00,10.5,9.2,2.1,1019,rome
2023-12-25 04:00:00,10.4,9.1,2.1,1019,rome
2023-12-25 05:00:00,10.4,9.1,2.0,1019,rome
2023-12-25 06:00:00,10.4,9.1,2.0,1019,rome
2023-12-25 07:00:00,11.6,9.4,1.8,1020,rome
2023-12-25 08:00:00,12.6,9.7,1.6,1020,rome
2023-12-25 09:00:00,13.7,10.0,1.4,1020,rome
2023-12-25 10:00:00,14.5,9.7,1.7,1020,rome
2023-12-25 11:00:00,15.2,9.5,2.1,1020,rome
2023-12-25 12:00:00,15.9,9.2,2.4,1019,rome
2023-12-25 13:00:00,15.6,9.5,2.3,1019,rome
2023-12-25 14:00:00,15.3,9.8,2.3,1019,rome
2023-12-25 15:00:00,15.0,10.1,2.3,1019,rome
2023-12-25 16:00:00,13.7,9.9,2.4,1019,rome
2023-12-25 17:00:00,12.3,9.8,2.5,1020,rome
2023-12-25 18:00:00,11.1,9.6,2.6,1020,rome
2023-12-25 19:00:00,10.8,9.5,2.6,1020,rome
2023-12-25 20:00:00,10.6,9.4,2.5,1020,rome
2023-12-25 21:00:00,10.4,9.3,2.4,1020,rome
2023-12-25 22:00:00,10.3,9.3,2.3,1020,rome
2023-12-25 23:00:00,10.3,9.2,2.3,1020,rome
2023-12-26 00:00:00,10.3,9.2,2.2,1020,rome
2023-12-26 01:00:00,10.3,9.2,2.3,1020,rome
2023-12-26 02:00:00,10.3,9.2,2.3,1020,rome
2023-12-26 03:00:00,10.3,9.2,2.3,1020,rome
2023-12-26 04:00:00,10.2,9.2,2.2,1020,rome
2023-12-26 05:00:00,10.2,9.2,2.0,1020,rome
2023-12-26 06:00:00,10.3,9.2,1.8,1020,rome
2023-12-26 07:00:00,11.6,9.5,1.7,1021,rome
2023-12-26 08:00:00,12.9,9.9,1.6,1021,rome
2023-12-26 09:00:00,14.1,10.4,1.5,1022,rome
2023-12-26 10:00:00,14.6,10.0,1.8,1022,rome
2023-12-26 11:00:00,15.0,9.7,2.2,1021,rome
2023-12-26 12:00:00,15.4,9.4,2.5,1021,rome
2023-12-26 13:00:00,15.2,9.5,2.0,1021,rome
2023-12-26 14:00:00,14.9,9.6,1.6,1021,rome
2023-12-26 15:00:00,14.6,9.7,1.1,1021,rome
2023-12-26 16:00:00,13.3,9.4,0.8,1021,rome
2023-12-26 17:00:00,12.0,9.2,0.6,1021,rome
2023-12-26 18:00:00,10.8,9.0,0.3,1021,rome
2023-12-26 19:00:00,10.1,8.7,0.5,1022,rome
2023-12-26 20:00:00,9.3,8.5,0.7,1022,rome
2023-12-26 21:00:00,8.5,8.3,0.9,1022,rome
2023-12-26 22:00:00,8.2,8.2,1.1,1022,rome
2023-12-26 23:00:00,7.9,8.2,1.4,1022,rome
2023-12-27 00:00:00,7.6,8.1,1.6,1023,rome
2023-12-27 01:00:00,7.5,8.0,1.6,1023,rome
2023-12-27 02:00:00,7.4,7.9,1.7,1023,rome
2023-12-27 03:00:00,7.3,7.9,1.7,1023,rome
2023-12-27 04:00:00,7.2,7.8,1.8,1023,rome
2023-12-27 05:00:00,7.1,7.7,1.8,1022,rome
2023-12-27 06:00:00,7.0,7.6,1.9,1022,rome
2023-12-27 07:00:00,8.4,7.8,1.8,1023,rome
2023-12-27 08:00:00,9.6,8.0,1.7,1023,rome
2023-12-27 09:00:00,10.9,8.2,1.6,1023,rome
2023-12-27 10:00:00,12.1,8.4,1.6,1023,rome
2023-12-27 11:00:00,13.3,8.6,1.5,1023,rome
2023-12-27 12:00:00,14.5,8.8,1.4,1023,rome
2023-12-27 13:00:00,14.0,8.9,1.5,1023,rome
2023-12-27 14:00:00,13.5,8.9,1.5,1022,rome
2023-12-27 15:00:00,13.0,9.0,1.6,1022,rome
2023-12-27 16:00:00,12.5,9.1,1.7,1022,rome
2023-12-27 17:00:00,11.9,9.2,1.7,1022,rome
2023-12-27 18:00:00,11.4,9.3,1.8,1022,rome
2023-12-27 19:00:00,11.2,9.2,1.9,1022,rome
2023-12-27 20:00:00,10.9,9.2,2.0,1022,rome
2023-12-27 21:00:00,10.7,9.1,2.1,1022,rome
2023-12-27 22:00:00,10.5,9.1,2.3,1022,rome
2023-12-27 23:00:00,10.3,9.0,2.4,1022,rome
2023-12-21 00:00:00,9.7,7.7,4.9,1018,paris
2023-12-21 01:00:00,9.6,7.7,4.4,1017,paris
2023-12-21 02:00:00,9.7,7.8,4.6,1016,paris
2023-12-21 03:00:00,10.0,8.0,4.7,1016,paris
2023-12-21 04:00:00,10.3,8.2,4.4,1015,paris
2023-12-21 05:00:00,10.6,8.4,4.7,1014,paris
2023-12-21 06:00:00,10.8,8.5,5.1,1013,paris
2023-12-21 07:00:00,10.3,8.2,5.1,1014,paris
2023-12-21 08:00:00,10.5,8.4,5.2,1013,paris
2023-12-21 09:00:00,10.9,8.6,5.1,1013,paris
2023-12-21 10:00:00,11.2,8.8,6.0,1013,paris
2023-12-21 11:00:00,11.5,8.8,5.4,1013,paris
2023-12-21 12:00:00,11.6,8.8,5.0,1011,paris
2023-12-21 13:00:00,11.8,8.8,5.7,1011,paris
2023-12-21 14:00:00,11.7,8.8,6.2,1011,paris
2023-12-21 15:00:00,11.7,8.6,6.1,1011,paris
2023-12-21 16:00:00,11.5,8.4,5.2,1012,paris
2023-12-21 17:00:00,11.1,8.3,5.1,1012,paris
2023-12-21 18:00:00,10.7,8.1,5.1,1013,paris
2023-12-21 19:00:00,11.0,8.0,5.5,1014,paris
2023-12-21 20:00:00,10.6,7.8,5.9,1014,paris
2023-12-21 21:00:00,10.3,7.6,7.3,1015,paris
2023-12-21 22:00:00,10.3,7.4,7.3,1015,paris
2023-12-21 23:00:00,9.9,7.2,7.0,1016,paris
2023-12-22 00:00:00,9.8,7.3,7.1,1016,paris
2023-12-22 01:00:00,9.9,7.3,6.9,1016,paris
2023-12-22 02:00:00,9.8,7.3,6.6,1016,paris
2023-12-22 03:00:00,9.9,7.3,6.5,1016,paris
2023-12-22 04:00:00,9.9,7.4,6.5,1016,paris
2023-12-22 05:00:00,10.0,7.7,6.6,1016,paris
2023-12-22 06:00:00,10.4,8.0,6.8,1016,paris
2023-12-22 07:00:00,10.5,8.1,7.7,1016,paris
2023-12-22 08:00:00,10.7,8.3,7.5,1017,paris
2023-12-22 09:00:00,10.8,8.6,6.8,1017,paris
2023-12-22 10:00:00,11.3,8.7,7.0,1018,paris
2023-12-22 11:00:00,11.5,8.5,8.7,1018,paris
2023-12-22 12:00:00,11.7,8.3,8.4,1017,paris
2023-12-22 13:00:00,11.6,8.1,8.3,1018,paris
2023-12-22 14:00:00,11.3,7.8,8.0,1018,paris
2023-12-22 15:00:00,10.8,7.4,7.3,1018,paris
2023-12-22 16:00:00,10.6,6.9,7.3,1018,paris
2023-12-22 17:00:00,10.1,6.6,5.9,1018,paris
2023-12-22 18:00:00,9.8,6.7,5.5,1019,paris
2023-12-22 19:00:00,9.1,6.7,5.6,1019,paris
2023-12-22 20:00:00,8.6,6.8,5.4,1019,paris
2023-12-22 21:00:00,8.8,6.9,5.7,1019,paris
2023-12-22 22:00:00,8.8,7.1,5.8,1020,paris
2023-12-22 23:00:00,9.1,7.3,5.9,1020,paris
2023-12-23 00:00:00,9.0,7.2,5.7,1020,paris
2023-12-23 01:00:00,8.6,7.3,5.6,1020,paris
2023-12-23 02:00:00,8.3,7.3,5.5,1020,paris
2023-12-23 03:00:00,7.9,7.3,5.4,1020,paris
2023-12-23 04:00:00,8.1,7.4,5.5,1020,paris
2023-12-23 05:00:00,8.3,7.4,5.5,1020,paris
2023-12-23 06:00:00,8.6,7.5,5.6,1020,paris
2023-12-23 07:00:00,8.8,7.5,5.8,1020,paris
2023-12-23 08:00:00,9.0,7.5,6.0,1020,paris
2023-12-23 09:00:00,9.2,7.5,6.2,1020,paris
2023-12-23 10:00:00,10.0,7.6,5.9,1020,paris
2023-12-23 11:00:00,10.7,7.8,5.6,1020,paris
2023-12-23 12:00:00,11.5,8.0,5.3,1020,paris
2023-12-23 13:00:00,11.5,8.0,5.4,1020,paris
2023-12-23 14:00:00,11.6,7.9,5.5,1020,paris
2023-12-23 15:00:00,11.6,7.8,5.6,1020,paris
2023-12-23 16:00:00,11.2,7.6,5.7,1020,paris
2023-12-23 17:00:00,10.9,7.4,5.8,1020,paris
2023-12-23 18:00:00,10.5,7.2,5.9,1020,paris
2023-12-23 19:00:00,10.4,7.3,5.9,1020,paris
2023-12-23 20:00:00,10.4,7.4,5.9,1019,paris
2023-12-23 21:00:00,10.3,7.4,6.0,1019,paris
2023-12-23 22:00:00,10.2,7.5,6.0,1019,paris
2023-12-23 23:00:00,10.1,7.5,5.9,1019,paris
2023-12-24 00:00:00,9.9,7.6,5.9,1019,paris
2023-12-24 01:00:00,9.3,7.4,5.9,1018,paris
2023-12-24 02:00:00,8.7,7.1,5.8,1018,paris
2023-12-24 03:00:00,8.1,6.9,5.7,1017,paris
2023-12-24 04:00:00,8.4,6.9,5.9,1017,paris
2023-12-24 05:00:00,8.8,6.9,6.1,1016,paris
2023-12-24 06:00:00,9.2,6.9,6.3,1016,paris
2023-12-24 07:00:00,9.5,7.1,6.5,1016,paris
2023-12-24 08:00:00,9.7,7.4,6.6,1016,paris
2023-12-24 09:00:00,10.0,7.7,6.8,1016,paris
2023-12-24 10:00:00,10.4,8.0,6.7,1016,paris
2023-12-24 11:00:00,10.9,8.4,6.6,1016,paris
2023-12-24 12:00:00,11.3,8.8,6.5,1015,paris
2023-12-24 13:00:00,11.7,9.0,6.4,1015,paris
